path text_newlines text_wcwords text_chars text_bytes
/nird/home/nikolare/hplt/public/two/annotated/cc19/smo_Latn/1.jsonl.zst   62927  852260 5021708 5135537
/nird/home/nikolare/hplt/public/two/annotated/wide12/bem_Latn/1.jsonl.zst 2026389 7034978 52205444 52679145
/nird/home/nikolare/hplt/public/two/annotated/cc19/tpi_Latn/1.jsonl.zst  104956  360520 1952556 1987747
/nird/home/nikolare/hplt/public/two/annotated/cc19/oci_Latn/1.jsonl.zst  820851 6094335 36642088 37714801
/nird/home/nikolare/hplt/public/two/annotated/cc19/lus_Latn/1.jsonl.zst  203193 1640679 9255728 9341511
/nird/home/nikolare/hplt/public/two/annotated/cc19/twi_Latn/1.jsonl.zst   47504  193275 1135002 1175526
/nird/home/nikolare/hplt/public/two/annotated/wide12/kmr_Latn/1.jsonl.zst  763265 14118669 82098403 90902955
/nird/home/nikolare/hplt/public/two/annotated/cc19/fao_Latn/1.jsonl.zst  215700 2043195 12909747 13797153
/nird/home/nikolare/hplt/public/two/annotated/wide12/fuv_Latn/1.jsonl.zst 1389729 9309425 96905028 97560317
/nird/home/nikolare/hplt/public/two/annotated/cc19/shn_Mymr/1.jsonl.zst    6199   43183  496559 1277117
/nird/home/nikolare/hplt/public/two/annotated/cc19/wol_Latn/1.jsonl.zst  108937  322522 2980036 3058391
/nird/home/nikolare/hplt/public/two/annotated/cc19/nya_Latn/1.jsonl.zst   29230  287044 2093024 2117252
/nird/home/nikolare/hplt/public/two/annotated/wide12/tpi_Latn/1.jsonl.zst 1634126 7310325 61608405 61941412
/nird/home/nikolare/hplt/public/two/annotated/cc19/cjk_Latn/1.jsonl.zst    4478   17969  111510  114284
/nird/home/nikolare/hplt/public/two/annotated/cc19/plt_Latn/1.jsonl.zst  130798 1840975 12579653 12809190
/nird/home/nikolare/hplt/public/two/annotated/wide12/twi_Latn/1.jsonl.zst  690189 5910551 75975845 76340956
/nird/home/nikolare/hplt/public/two/annotated/cc19/cym_Latn/1.jsonl.zst  921934 8902051 53810061 54516525
/nird/home/nikolare/hplt/public/two/annotated/cc19/jav_Latn/1.jsonl.zst  191187 2138452 14155109 14477538
