lang	text_newlines	text_wcwords	text_bytes	docs
xx-Bugi	101	365	3889	2
xx-Cakm	9097	19280	126283	70
xx-Cari	114	203	1475	1
xx-Cham	11337	22759	153021	84
xx-Copt	12105	1251515	19739295	57
xx-Cprt	114	211	1501	1
xx-Dsrt	467	1037	6900	2
xx-Egyp	1110058	1247250	6821038	1024
xx-Glag	2426	13768	145505	27
xx-Goth	6500	29520	318398	81
xx-Ital	562	2377	16491	3
xx-Java	14409	31591	219568	99
xx-Kali	209	498	3077	2
xx-Khar	5768	12446	83024	50
xx-Kthi	130	221	1555	1
xx-Lana	32480	50773	418485	154
xx-Lepc	133	237	1533	1
xx-Linb	1520	3239	19597	8
xx-Lisu	688	300639	2315446	2
xx-Mtei	1758	4583	33221	13
xx-Nkoo	1034	12018	78647	8
xx-Ogam	72	94	574	1
xx-Olck	19801	117595	1548109	146
xx-Orkh	6786	16921	109313	53
xx-Phag	6508	16485	106530	56
xx-Phnx	147	1898	14624	2
xx-Plrd	25386	44648	270638	138
xx-Qaai	105	384	4363	21
xx-Rjng	3140	7745	49227	35
xx-Runr	3469	17425	143282	26
xx-Samr	63	185	1659	1
xx-Saur	18312	54113	445840	130
xx-Shaw	458	1575	12910	6
xx-Shrd	11321	22860	145803	85
xx-Sund	103	739	8318	2
xx-Sylo	10	43	841	1
xx-Takr	7777	16800	106847	67
xx-Talu	7948	10777	134805	27
xx-Tavt	472	2575	18281	3
xx-Tfng	93538	584942	7467028	649
xx-Ugar	119	424	3072	1
xx-Vaii	114728	195675	1076142	315
xx-Xpeo	114	206	1493	1
xx-Xsux	843647	1029873	5684190	895
xx-Yiii	26212	65316	482232	59
yi	56159993	358020399	3511151958	250437
yo	2252208	9236718	66345828	15617
za	268802	667227	6221375	1392
zh	271908326044	483971559862	10033060170851	1319403113
zh-Hant	24389626018	48139336538	731150426963	88371859
zu	5676343	23153725	181638575	37079
zzp	7380439	25516509	201165359	31467
